Name,Notes
speedlife-man,"['grapefruit', ' cardamom', ' yuzu', 'sandalwood', ' watermelon', ' bamboo', ' cedar']"
s-oliver-women,"['red apple', ' lime', ' bergamot', 'floral notes', ' musk']"
amazing-grace-lavender,"['lavender', ' grapefruit', ' bergamot', ' black currant', 'lily-of-the-valley', ' rhubarb', ' raspberry', ' cardamom']"
sweet-rose,"['grapefruit', ' pink pepper', ' pear', 'rose', ' peony', ' geranium']"
acqua-azzurra,"['bergamot', ' orange blossom', ' lavender', 'violet leaf', ' ginger', ' rose']"
fugazzi-parfum-4-workaholic,"['floral notes', 'coffee', ' bulgarian rose']"
dynamic-life-for-her,"['mandarin orange', ' pink grapefruit', ' papaya', 'orchid', ' rose', ' jasmine']"
ellen,"['anise', ' peach', ' cotton candy', 'rose', ' water lily', ' jasmine']"
loubimar-eau-de-parfum-legere,"['sea salt', ' lemon', 'tuberose']"
besos,"['madagascar pepper', ' italian mandarin', 'iris', ' jasmine sambac']"
a,"['green notes', 'tomato leaf', ' basil']"
tulip,"['ivy', ' bergamot', ' freesia', 'tulip', ' jasmine', ' violet']"
true-glow-nightfall,"['raspberry', ' rose', 'orchid', ' jasmine']"
attraction-rush-for-him,"['mandarin orange', ' green apple', ' lavender', ' lime', 'cinnamon', ' sage', ' tarragon']"
christian-lacroix-bijou,"['pear', ' mandarin orange', ' apple', 'vanilla orchid', ' gardenia', ' jasmine']"
incandessence-soleil,"['osmanthus', 'citruses']"
secret-fantasy,"['big strawberry', ' pineapple', ' apple', ' watery notes', 'lilac', ' jasmine', ' freesia']"
roses-on-ice,"['cucumber', ' juniper berries', ' lime', 'rose']"
flowerhead,"['angelica', ' cranberry', ' lemon', 'tuberose', ' jasmine sambac', ' green notes', ' rose petals']"
noa-l-eau-2018,"['green apple', ' cassis', 'peony', ' jasmine']"
calvin-klein-women-eau-de-toilette,"['lemon', ' cassis', ' pink pepper', ' raspberry', 'orange blossom', ' peony', ' rose']"
baiser-fou,"['raspberry', 'orchid']"
el-cosmico,"['pine', ' pepper', 'khella', ' creosote bush', ' oak']"
a-shot-of-oud-over-mango,"['mango', ' black pepper', 'freesia']"
moscow-mule,"['bergamot', ' lime', ' lemon', 'hedione', ' ginger', ' apple']"
creme-de-la-creme,"['coffee', ' ylang-ylang', ' neroli', 'macadamia', ' rose', ' sandalwood', ' jasmine', ' cedar']"
aqua-vitae-cologne-forte,"['mandarin orange', ' bergamot', 'floral notes', ' solar notes']"
amber-roses,"['sicilian lemon', 'rose', ' indian jasmine']"
florane,"['cassis', ' grapefruit', 'violet', ' lily-of-the-valley', ' jasmine', ' amber']"
nativa-spa-blueberry-senses,"['blueberry', ' red berries', ' apple', ' pear', ' mandarin orange', 'raspberry', ' peony', ' freesia', ' lily-of-the-valley']"
bluebell,"['citruses', 'hyacinth', ' lily-of-the-valley', ' rose', ' cyclamen', ' jasmine']"
rubylips,"['red currant', ' yuzu', ' apple', 'rose', ' orchid', ' water lily']"
freedom,"['green leaves', ' basil', ' violet', ' juniper', ' clary sage', 'salt', ' white pepper', ' ginger', ' coriander', ' orange blossom']"
jeans-woman,"['lilac', ' african orange flower', ' neroli', ' freesia', 'jasmine', ' rose', ' nutmeg']"
mon-rouge,"['plum', ' black currant', 'iris', ' neroli essence']"
beaver,"['musk', ' lime (linden) blossom', ' citruses', 'castoreum', ' iris', ' vanila']"
wonder-flower,"['goji berries', ' pear', ' almond blossom', 'watermelon', ' violet', ' cyclamen', ' jasmine', ' peony']"
the-babes-sweet-peach,"['peach', ' orange', 'floral notes']"
rose-and-me,"['black rose', 'geranium', ' saffron', ' jasmine']"
black-tulip,"['apple', ' citruses', 'coffee', ' rose', ' jasmine']"
la-nuit-magique,"['peach', ' freesia', ' bergamot', 'milk', ' hazelnut', ' lily', ' lily-of-the-valley']"
clinique-happy-holiday,"['bergamot', ' grapefruit', ' laurels', 'orchid']"
aora,"['gardenia', ' peony', ' mandarin orange', 'tuberose', ' magnolia', ' violet', ' accia', ' plumeria']"
collection-privee-rubis,"['cloves', ' cherry blossom', ' lotus', 'sandalwood', ' rose', ' patchouli', ' jasmine']"
eye-to-eye-vshokolade,"['sugar', ' sicilian lemon', ' sweet orange', 'coconut', ' cardamom', ' pineapple', ' jasmine']"
scuderia-ferrari-black-signature,"['green apple', ' star anise', ' grapefruit', 'sea notes', ' nutmeg', ' leather', ' cashmere musk']"
mexx-whenever-wherever-for-her,"['mandarin orange', ' green leaves', ' pear', 'rhubarb', ' greengage', ' jasmine', ' violet']"
mexx-whenever-wherever-for-him,"['lemon', ' grapefruit', ' apple', ' ivy', 'water notes', ' seaweed', ' fir resin']"
cowboy-kush,"['white leather', ' hazelnut', ' mandarin orange', 'suede', ' saffron', ' cannabis', ' labdanum']"
vert-d-eau,"['lemon', ' mandarin orange', ' peach', 'fig leaf', ' white flowers']"
patchouli-1973,"['lavender', ' orange', 'cinnamon', ' patchouli', ' geranium']"
jasmin-poudre,"['calamus', ' fig', ' osmanthus', 'iris', ' jasmine', ' rose', ' ylang-ylang']"
charlotte-aux-fraises,"['lemon', 'cupcake', ' milk', ' big strawberry']"
laetitia,"['watery notes', ' cyclamen', 'watermelon', ' melon']"
evergreen-dream,"['galbanum', ' lime', ' white grapefruit', 'pine', ' lavender', ' birch', ' cashmeran']"
gisada-uomo,"['apricot', ' italian lemon', ' artemisia', 'cedar', ' wisteria', ' rose', ' labdanum']"
party-on-the-moon,"['calabrian bergamot', ' calabrian mandarin', ' violet leaf', 'black tea', ' jasmine', ' cedar']"
beautiful-wild,"['rose', ' geranium', ' litchi', 'woody notes', ' spices', ' freesia']"
jardin-de-sicile,"['bitter orange', ' amalfi lemon', ' petitgrain', 'petitgrain', ' lemon blossom', ' violet']"
jaguar-woman,"['mandarin orange', ' red currant', ' watermelon', 'peony', ' water lily', ' jasmine sambac']"
banafsaj-night,"['rose', 'litchi']"
fraicheur-muskissime,"['amalfi lemon', ' black currant', ' bergamot', ' grapefruit', 'blackberry', ' raspberry', ' jasmine']"
philosophigue,"['green leaves', 'fig']"
acqua-lotus,"['sea notes', ' pepper', ' red berries', ' lemon', ' black currant', 'flowers', ' jasmine', ' turkish rose']"
i-zucchero-candito,"['toffee', 'bonbon', ' caramel']"
b-b,"['lemon', ' bitter orange', ' bergamot', ' bulgarian rose', 'cumin', ' lavender', ' ylang-ylang', ' pepper', ' lotus']"
liquid-woman,"['orange', ' petitgrain', ' mandarin orange', ' pepper', 'african orange flower', ' jasmine', ' rose']"
swedoft-for-women,"['kiwi', 'jasmine']"
smash,"['green apple', ' lemon', ' yuzu', 'cardamom', ' white cedar extract', ' orange blossom']"
original,"['lavender', ' mint', ' bergamot', 'violet', ' geranium']"
pinrose,"['bulgarian rose', ' elemi', ' anise', 'rose', ' cloves', ' iris']"
3600-blue-for-men,"['cypress', ' bergamot', ' lemon', 'lavender', ' tarragon', ' rosemary', ' balsam fir', ' geranium']"
sexual,"['apricot', ' osmanthus', ' honeysuckle', ' clementine', ' bergamot', 'rose', ' gardenia', ' freesia', ' jasmine', ' water lily']"
tristitia,"['red rose', ' jasmine', 'vanilla']"
silk-pink,"['peony', ' freesia', ' litchi', 'rose', ' lily-of-the-valley', ' magnolia']"
in-love,"['peony', ' pink pepper', 'rose', ' ylang-ylang', ' jasmine sambac']"
cash-flower,"['rose petals', ' rose', 'pepper', ' cashmere wood']"
saint-remy,"['juniper berries', ' white iris', ' bergamot', ' ginger', ' pink pepper', 'leather', ' iris', ' amber', ' magnolia']"
london-poppy,"['orange', ' sicilian lemon', ' apricot blossom', 'sunflower', ' sea notes', ' jasmine sambac', ' neroli']"
intimission-due,"['black currant', ' bergamot', ' mandarin orange', 'rose', ' freesia']"
fragrance-03-blonde,"['saffron', ' juniper berries', ' pomelo', 'leather', ' black violet', ' rose']"
eau-so-beautiful,"['pomelo', ' wild strawberry', ' violet leaf', 'magnolia', ' lily-of-the-valley', ' gardenia', ' jasmine']"
xperience,"['hawthorn', ' bergamot', ' frangipani', 'lotus', ' red peony', ' orange blossom']"
lukomorie,"['lemongrass', ' bergamot', ' grapefruit', 'black currant', ' pink pepper', ' rose water']"
souvenir-desert-rose,"['fruity notes', ' musk', 'tropical fruits', ' powdery notes']"
slip-into,"['blackberry', ' violet leaf', ' freesia', 'violet', ' orchid', ' brazilian rosewood']"
musk-wood,"['bergamot', 'lavender']"
cherish-the-moment,"['cassis', ' champagne', ' tulip', 'orchid', ' white ginger lily', ' lily-of-the-valley']"
far-away-rebel-diva,"['pink pepper', ' litchi', ' co2 extracts', ' sicilian bergamot', 'jasmine sambac', ' rose', ' magnolia']"
passion-dance-dark,"['orange blossom', 'coffee']"
scent-essence-romantic-bouquet,"['peony', 'freesia']"
p-s-i-love-you,"['peony', ' litchi', ' citruses', 'rose', ' incense', ' jasmine', ' lily', ' orchid']"
i-love-new-york-for-mothers,"['tangerine', ' freesia', 'jasmine', ' lily']"
bad-boys-are-no-good-but-good-boys-are-no-fun,"['coca-cola', ' lime', 'cinnamon', ' apple', ' nutmeg']"
212-surf-for-him,"['sea notes', 'grapefruit']"
gabrielle-l-eau,"['red berries', ' green notes', 'orange blossom', ' ylang ylang', ' tuberose', ' jasmine']"
see-by-chloe-si-belle,"['birch leaf', ' neroli', ' cucumber', 'gardenia', ' orange blossom', ' apple', ' peach', ' jasmine', ' rose']"
first-blush,"['bergamot', ' white tea', ' mint', 'jasmine', ' neroli', ' basil']"
juice,"['raspberry', ' strawberry', 'rhubarb', ' bulgarian rose', ' cyclamen']"
wind-flowers,"['jasmine', ' orange blossom', ' peach', 'jasmine sambac', ' tuberose', ' rose']"
lily-of-the-valley,"['black currant', ' bergamot', ' grapefruit', 'lily-of-the-valley', ' geranium', ' jasmine', ' magnolia']"
dame-de-l-ile,"['bergamot', ' lime', 'jasmine', ' ambergris', ' rose']"
aqua-allegoria-forte-rosa-palissandro,"['coriander', ' lemon', ' aldehydes', 'damask rose', ' palisander rosewood', ' geranium']"
jasmin-bonheur,"['apricot', ' bergamot', 'jasmine', ' orange blossom', ' rose']"
le-male-pirate-edition,"['mint', ' lavender', ' cardamom', ' artemisia', ' bergamot', 'cinnamon', ' orange blossom', ' caraway']"
live-colorfully-sunshine-2017,"['clementine', ' lime (linden) blossom', ' sicilian lemon', 'tiare flower', ' coconut nectar', ' gardenia']"
citrus-08,"['pink grapefruit', ' rhubarb', ' bergamot', ' black currant', ' pink pepper', 'bulgarian rose', ' damask rose']"
belle-bete,"['hazelnut', ' red chilli pepper', ' iris flower', ' rhubarb', ' saffron', ' clary sage', 'coffee', ' cashmeran', ' vetiver', ' coumarin', ' atlas cedar', ' patchouli']"
pink-fresh-couture,"['pink grapefruit', ' black currant', ' lily-of-the-valley', 'rose', ' pomegranate', ' pink hyacinth']"
quasar-drop-xy,"['lemon', ' bergamot', ' eucalyptus', ' ginger', ' anise', ' mandarin orange', 'floral notes', ' geranium']"
invictus-silver-cup-collector-s-edition,"['sea notes', ' grapefruit', ' mandarin orange', 'bay leaf', ' jasmine']"
lady-million-empire,"['red currant', ' orange', ' neroli essence', 'mirabelle', ' magnolia', ' osmanthus', ' orange blossom']"
apex-parfum,"['mandarin orange', ' bergamot', ' orange', ' lemon', 'pineapple', ' jasmine', ' labdanum']"
impact-together,"['aquatic notes', ' calone', ' black pepper', 'sage', ' artemisia']"
jeans-couture-glam,"['aldehydes', ' pink pepper', ' petitgrain', 'fuchsia', ' butterfly orchid', ' rose']"
red-jeans,"['peach', ' apricot', ' freesia', ' black currant', 'rose', ' violet', ' lily-of-the-valley', ' water lily', ' ylang-ylang']"
moment-de-bonheur,"['green notes', ' geranium', 'rose']"
paris-rebel-collector-2014,"['citruses', ' pink pepper', ' tomato leaf', 'rose']"
bergamot-lavender,"['bergamot', 'lavender']"
lovely-u,"['ground cherry', ' nectarine', ' red currant', 'mandarin blossom', ' wild rose', ' freesia']"
drakkar-essence,"['mint', ' grapefruit', 'lavender', ' sage', ' woody notes']"
strategis,"['bergamot', ' lemon', ' pine tree needles', 'vetiver', ' geranium', ' lily of the valley', ' sandalwood']"
miami-seduction-for-women,"['pear', ' raspberry', ' orange', ' black currant', 'black tea', ' lily-of-the-valley', ' jasmine', ' freesia']"
experience-the-magic,"['white tea', ' bergamot', ' apple', 'freesia', ' rose', ' violet']"
star-flower,"['bergamot', ' grapefruit', ' mandarin orange', 'lavender', ' jasmine sambac', ' peony', ' pineapple blossom']"
vince-camuto-solare,"['mandarin orange', 'cardamom', ' pimento']"
vanilla,"['caramel', 'vanilla']"
adidas-uefa-best-of-the-best,"['lavender', ' violet leaf', ' lemon', 'clary sage', ' apple', ' cashmeran']"
lou-lou,"['hibiscus', ' gardenia', 'lotus', ' freesia']"
tulipe-noire,"['rhubarb', ' coriander', ' bergamot', 'tuberose', ' jasmine']"
quatre-en-bleu,"['bergamot', ' lemon', ' mandarin orange', 'egyptian jasmine', ' tuberose', ' rose']"
virtuous,"['basil', ' thyme', ' wormwood', 'sage', ' cobblestone', ' lily', ' violet']"
sumatera,"['cinnamon', ' patchouli', ' black pepper', ' white flowers', ' jasmine', 'patchouli', ' cedar', ' musk']"
navy-for-men,"['sage', ' tangerine', ' water lily', 'lavender', ' juniper', ' geranium', ' nutmeg']"
bad,"['lavender', ' bergamot', ' cardamom', ' violet leaf', 'caviar', ' orris root', ' sage']"
dkny-be-100-delicious,"['pear', ' pistachio', ' mandarin orange', ' black currant', 'magnolia', ' rose water', ' orange blossom']"
dkny-be-delicious-red-art,"['green apple', ' grapefruit', 'sea water', ' jasmine']"
champs-de-provence,"['bergamot', ' orange', ' pear', 'orange blossom', ' jasmine', ' rose']"
flowers,"['ivy', ' pear', ' black currant', ' orange', ' bergamot', 'lily', ' indian jasmine', ' peach', ' plum']"
fleur-de-cabotine,"['mignonette', ' syringa', ' mandarin orange', 'cactus flower', ' lily', ' orchid', ' peony']"
cassandra-blanc,"['fruity notes', ' amalfi lemon', 'floral notes']"
mercedes-benz-woman-eau-de-toilette,"['pear leaf', ' black currant', ' mandarin orange', 'gardenia', ' jasmine sambac', ' lily-of-the-valley']"
pink-topaz,"['pink pepper', ' bergamot', 'rose', ' violet', ' star anise', ' ylang-ylang', ' raspberry']"
l-or-de-bourbon,"['big strawberry', ' ylang-ylang', ' rose', ' black currant', 'honey', ' exotic fruits', ' grapes', ' pepper', ' amber', ' ginger']"
sportivo,"['bitter orange', ' pimento', ' cardamom', 'lavender', ' black tea', ' sage']"
victorinox-swiss-unlimited-energy,"['mint', ' grapefruit', ' violet leaf', 'lavender', ' wormwood', ' nutmeg']"
fili,"['grapefruit', ' bergamot', ' cassis', 'leather', ' cypriol oil or nagarmotha', ' cinnamon', ' cardamom']"
fou-d-elle,"['peach', ' lotus', ' pepper', ' jasmine', 'hiacynth', ' wild rose', ' praline', ' freesia']"
coconut-cove,"['bergamot', ' hibiscus', ' cardamom', ' lemon', 'coconut', ' gardenia', ' green notes', ' jasmine']"
amber-rose,"['rose', 'dulce de leche']"
police-legend-for-man,"['lavender', ' black pepper', ' absinthe', 'star anise', ' coumarin', ' geranium']"
tank-plate-for-her,"['almond', ' red fruits', ' freesia', 'iris', ' tuberose', ' peach', ' jasmine']"
benzin,"['rum', ' cognac', ' smoke', ' walnut', 'leather', ' birch', ' palo santo', ' guaiac wood', ' incense']"
bright-red,"['cashmere wood', 'rose', ' sandalwood', ' incense', ' vetiver']"
accident-a-la-vanille-almond-cake-limited-edition,"['vanilla', 'vanilla', ' biscuit', ' sandalwood']"
smyth,"['green apple', ' melon', ' watery notes', ' sorbet', ' pineapple', 'star jasmine', ' apricot', ' white tea']"
catalyst,"['hiacynth', ' bergamot', ' gardenia', ' peach', 'orris root', ' carnation', ' tuberose', ' narcissus', ' lily-of-the-valley', ' jasmine', ' orange blossom', ' rose', ' orchid']"
jasmin,"['coriander', ' geranium', ' pink pepper', 'jasmine', ' rose', ' violet', ' ylang-ylang']"
golden,"['bergamot', ' green apple', ' brazilian rosewood', ' cardamom', ' ceylon cinnamon', 'jasmine', ' hyacinth', ' geranium', ' rose', ' ylang-ylang', ' black currant']"
instance-harmonia,"['bergamot', ' mimosa', ' pear', 'jasmine', ' iris', ' cardamom']"
diamonds-and-sapphires,"['melon', ' lily-of-the-valley', ' freesia', ' peach', ' galbanum', 'rhubarb', ' ylang-ylang', ' jasmine', ' rose', ' spices']"
senorita-mon-amour,"['almond milk', ' black currant', ' mandarin orange', ' orange', 'heliotrope', ' rose', ' jasmine']"
rituel-d-orient-secret-iv,"['bergamot', ' lemon', 'rose', ' agarwood (oud)', ' jasmine']"
ab,"['aluminum', ' aldehydes', 'slate', ' pebbles', ' water notes']"
eternal-magic,"['violet', ' pink pepper', ' bergamot', 'iris', ' rose', ' magnolia']"
aquavibe-ama-aquavibe-love-now,"['pear', ' orange', ' peach', 'strawberry', ' brown sugar', ' raspberry']"
little-black-dress-weekend,"['lemon', ' brazilian orange', ' mandarin orange', 'orange blossom', ' osmanthus', ' pink pepper']"
elite-gentleman-weekend,"['grapefruit', ' italian cypress', ' cardamom', 'lavender', ' violet leaf', ' sandalwood']"
eve-become,"['apple', ' peach', ' citruses', 'gardenia', ' jasmine', ' butterfly orchid']"
beekman-place,"['pear', ' pineapple', ' bergamot', ' black currant', 'watery notes', ' driftwood', ' lemon', ' basil', ' pepper', ' geranium']"
nordic-light,"['mandarin orange', ' bergamot', ' orange', 'lily', ' magnolia', ' vanilla orchid']"
terra-woods,"['jasmine sambac', ' geranium', 'coconut']"
h2eau-nectarine-petal,"['nectarine', 'peach blossom', ' chamomile']"
eau-de-minthe,"['mint', ' nutmeg', 'geranium', ' rose']"
dolce,"['neroli', ' papaya flower', 'water lily', ' narcissus', ' amaryllis']"
light-blue-italian-zest-pour-homme,"['grapefruit', ' bergamot', ' lemon', ' mandarin orange', 'sichuan pepper', ' rosemary', ' hedione', ' palisander rosewood', ' freesia']"
shabby-chic,"['peony', 'bulgarian rose', ' white flowers']"
ancestry-in-paris,"['green leaves', ' sea notes', 'jasmine', ' peach', ' rose']"
my-couture,"['black currant', ' freesia', 'jasmine', ' lily-of-the-valley']"
gucci-guilty-pour-homme-diamond,"['italian lemon', ' mandarin orange', ' green leaves', ' pink pepper', 'lavender', ' neroli', ' orange blossom', ' coriander']"
nashi-blossom,"['lemon', 'pear blossom', ' rose']"
rose-magnolia-cologne-2024,"['magnolia', ' black pepper', 'may rose', ' rose de mai', ' geranium']"
walk-on-air-sunset,"['magnolia petals', ' cyclamen', ' bergamot', ' litchi', 'magnolia', ' egyptian jasmine', ' night blooming jasmine', ' bulgarian rose', ' ylang-ylang']"
idole-eau-de-parfum-limited-edition-2021,"['pear', ' bergamot', 'turkish rose', ' may rose', ' indian jasmine']"
o-de-lancome-fourreaute,"['citruses', ' lemon', ' mandarin orange', ' bergamot', ' floral notes', 'green accord', ' basil', ' honeysuckle', ' jasmine', ' rosemary', ' coriander']"
black-intensitive-aoud,"['pepper', ' cloves', ' peach', 'rose', ' saffron', ' jasmine', ' violet']"
nina-illusion,"['yuzu', ' italian lemon', ' pink pepper', 'raspberry', ' orange blossom']"
lady-million-eau-de-toilette,"['neroli', ' lily-of-the-valley', 'gardenia', ' hyacinth']"
dandy-me,"['cinnamon', ' saffron', ' grapefruit', 'may rose', ' geranium']"
mehrab,"['rose', ' saffron', 'tobacco', ' amber']"
dalia-more,"['pear', ' sicilian bergamot', ' candy apple', 'red rose', ' passion flower', ' raspberry']"
chi,"['coffee', ' caramel', ' milk', ' almond', 'cambodian oud', ' earthy notes', ' truffle', ' vanilla', ' patchouli']"
bright-crystal-parfum,"['red fruits', ' yuzu', ' pomegranate', ' caramel', 'helvetolide', ' peony', ' magnolia', ' lotus']"
torino23,"['bergamot', ' rose', ' cardamom', ' nutmeg', 'tuberose', ' neroli', ' ylang-ylang', ' jasmine']"
night-skyline,"['ginger', 'artemisia']"
eclipse-1996,"['green notes', ' melon', ' orange', 'water notes', ' lily-of-the-valley', ' rose', ' jasmine']"
miss-o-club-prive,"['bergamot', ' pear leaf', ' green apple', 'lily-of-the-valley', ' african orange flower', ' nectarine']"
the-babes-crazy-kiwi,"['kiwi', ' pineapple', 'freesia', ' rose']"
1831-norma-bellini,"['aldehydes', ' pink pepper', 'ylang-ylang', ' jasmine', ' rose', ' labdanum']"
dark,"['saffron', ' cinnamon', ' ginger', ' black pepper', ' nutmeg', 'vetiver', ' orange blossom', ' patchouli', ' driftwood']"
gincenso,"['juniper', ' star anise', ' bergamot', ' pink pepper', 'ginger', ' geranium', ' nutmeg', ' violet']"
diavolo,"['mandarin orange', ' bergamot', ' green leaves', 'pepper', ' geranium', ' patchouli']"
electric-blue-seduction-for-women,"['exotic fruits', ' fruits', ' citruses', 'flowers']"
onyx-pearl,"['agarwood (oud)', ' suede', ' floral notes', 'heliotrope', ' amber', ' patchouli']"
lady-in-black,"['white peach', ' apricot', ' bergamot', 'jasmine', ' violet', ' heliotrope']"
ethno,"['pomelo', ' passionfruit', ' watermelon', 'kumquat', ' freesia', ' peony']"
l-esthete,"['pineapple', ' red apple', ' mandarin orange', ' yuzu', ' lemon', 'sea notes', ' jasmine', ' nutmeg', ' violet', ' pear', ' petitgrain']"
limitless,"['black pepper', ' red apple', ' lemon', 'patchouli', ' ylang ylang', ' egyptian jasmine']"
dream-of-pink,"['red berries', ' iced tea', 'lotus', ' rose']"
this-is-really-her,"['pink pepper', ' basil', 'rose', ' chestnut']"
red-santal,"['cloves', ' black', ' pink pepper', 'ginger', ' thyme', ' bergamot']"
fun-sensations,"['raspberry', ' lemon', ' pink pepper', 'litchi', ' violet', ' rose']"
labdanum-is-my-love-language,"['olibanum', 'dark patchouli', ' lavender extract']"
mandarine-glaciale,"['mandarin orange', ' lemon', ' bergamot', 'ginger', ' petitgrain', ' jasmine']"
solstice,"['neroli', ' petitgrain', 'orange blossom', ' lavender']"
hinoki-shower,"['cypress', ' pine', ' camphor', 'cedar', ' woody notes', ' thyme']"
la-formidable,"['bergamot', ' solar notes', 'freesia', ' floral notes']"
candie-s-luscious,"['red currant', ' blood grapefruit', 'wild rose', ' osmanthus']"
all-for-love,"['freesia', ' green notes', ' mandarin orange', 'orange blossom', ' cedar', ' rose', ' jasmine']"
eau-de-biarritz,"['ylang-ylang', ' bergamot', ' rose', 'sea notes', ' seaweed', ' tonka bean', ' magnolia']"
grenadine,"['raspberry', ' black currant', 'rose', ' violet']"
the-majestic-vanilla,"['cinnamon', ' mandarin orange', ' bergamot', 'galbanum', ' peach', ' tonka bean']"
corason,"['cassia', ' peony', 'magnolia', ' rose', ' lilac']"
dkny-be-delicious-fresh-blossom-juiced,"['freesia', ' passion flower', ' grapefruit', ' black currant', 'apple blossom', ' rose', ' lily-of-the-valley', ' sweet pea']"
dkny-be-delicious-paris,"['red apple', 'violet', ' jasmine']"
red-wood,"['cranberry', ' pink pepper', 'litchi', ' rose', ' magnolia']"
faconnable-homme,"['sea notes', ' mint', ' jasmine', ' melon', ' mandarin orange', ' orange blossom', 'pelargonium', ' damask rose', ' cedar']"
white-touch,"['water lily', ' melon', ' pear', ' black currant', 'jasmine', ' artemisia', ' violet', ' freesia', ' rose']"
stance,"['apple', ' cardamom', ' black pepper', ' mandarin orange', ' nutmeg', 'cashmere wood', ' cedar', ' vetiver', ' patchouli']"
noisette-iris,"['turkish rose', ' roasted coffee beans', ' pink pepper', 'orris', ' hazelnut', ' peach blossom', ' black currant']"
kkw-x-kris,"['campari', ' white wine', ' tagetes', ' freesia', 'gardenia', ' tuberose', ' lily-of-the-valley', ' jasmine']"
black-oud,"['nutmeg', ' cumin', 'agarwood (oud)', ' labdanum']"
midnight-butterfly,"['plum', ' peach blossom', ' pomelo', 'mimosa', ' tuberose', ' african orange flower']"
sillage-de-the,"['bamboo leaf', ' bergamot', 'green leaves', ' tiare flower']"
seductive-elixir,"['pomegranate', ' red currant', ' paprika', ' pink pepper', 'hibiscus', ' freesia', ' violet']"
billion-dollar-red-bond,"['apple', ' cardamom', 'spicy notes', ' water notes']"
sweet-and-strong,"['citruses', ' mandarin orange', ' orange', 'peach', ' white flowers', ' rose', ' ylang-ylang', ' clove']"
moonstone,"['black currant', ' green apple', ' pineapple', 'jasmine', ' mandarin orange', ' lemon zest', ' geranium']"
phloria,"['bergamot', 'gardenia', ' jasmine', ' solar notes']"
fracas-for-men,"['apple', ' lime', ' neroli', ' bergamot', 'rose', ' teak wood', ' patchouli']"
eclat-d-arpege-mon-eclat,"['aloe vera', ' bergamot', 'apricot', ' jasmine', ' rose']"
hellanut,"['hazelnut', ' milk', ' sugar', 'cacao', ' floral notes']"
precious-white,"['watermelon', ' pear', ' white peach', 'watery notes', ' magnolia', ' white rose']"
jammin-vibration,"['black currant', ' cardamom', ' green notes', ' bergamot', ' pink pepper', 'virginia cedar', ' jasmine', ' gardenia', ' freesia']"
bravo,"['cassis', ' strawberry', ' apricot', ' jasmine', ' rose', 'leather', ' clove', ' artemisia', ' cinnamon']"
nitroglyzerin,"['grapefruit', ' bergamot', ' lemon', ' cardamom', 'bitter orange', ' brazilian rosewood', ' magnolia', ' geranium', ' rose']"
puma-create,"['grapefruit', ' strawberry', ' apple', 'lily-of-the-valley', ' pink pepper', ' freesia']"
animal,"['sandalwood', ' iris', 'spicy notes', ' musk']"
berlin-ii,"['peach', ' pink pepper', ' bergamot', 'iris', ' tuberose', ' jasmine']"
tango-oud,"['pink pepper', ' bergamot', ' cardamom', ' cinnamon', 'agarwood (oud)', ' cumin', ' rose', ' patchouli', ' jasmine sambac']"
bois-nuit,"['plum', ' orange', 'rose', ' patchouli leaf', ' geranium', ' red berries']"
tout-a-vous,"['pink grapefruit', ' pink pepper', ' bergamot', 'gardenia', ' lotus', ' jasmine']"
madame-in-love,"['peony', ' citruses', 'fruity notes', ' osmanthus', ' rose']"
chocolat-bambola,"['mango', ' papaya', 'mexican chocolate']"
lavender-and-gold-amber,"['lavender', ' geranium', ' coriander', 'taif rose', ' lily-of-the-valley']"
cricket-song,"['bergamot', 'magnolia']"
symphonie-passion,"['lemon', ' peony', 'vetiver', ' cashmeran']"
emanuel-ungaro-apparition-exotic-green,"['bamboo', ' amalfi lemon', ' mandarin orange', ' black currant', 'violet leaf', ' rose', ' cinnamon']"
fruit-d-amour-green,"['green apple', ' mandarin orange', ' orange', 'jasmine', ' white peach']"
aurora,"['agarwood (oud)', ' saffron', ' cardamom', ' cloves', 'rose', ' sandalwood', ' patchouli']"
2-wild-water,"['juniper', ' black pepper', ' bergamot', 'iris', ' pine needles', ' black currant']"
chilehead,"['chili pepper', ' lime', ' peppermint', ' thyme', ' celery', ' cumin', ' bergamot', 'galbanum', ' artemisia', ' ylang-ylang', ' geranium', ' neroli']"
sun-light,"['green mandarin', ' cardamom', ' black', ' pink pepper', ' juniper', 'maple sap', ' sea salt', ' orange blossom', ' jasmine', ' honeysuckle', ' rose']"
kiss-me,"['sorbet', ' strawberry', 'forest fruits']"
red-wine-brown-sugar,"['red berries', ' dried fruits', ' raspberry', 'red wine', ' cedar', ' patchouli']"
vintage,"['bergamot', ' lemon', ' peach', 'peony', ' water lily', ' rose', ' lily', ' jasmine']"
vanille-flamboyante-de-bourbon,"['rose', ' night blooming jasmine', ' plum', ' honey', 'ylang-ylang', ' geranium']"
ice-sheers-delicious,"['blackberry', ' grapefruit', 'mojito', ' mint', ' black pepper']"
lucky-me-intense,"['sichuan pepper', ' mandarin orange', ' apple', 'cinnamon leaf', ' nutmeg', ' rosemary']"
eve-prive,"['red apple', 'jasmine']"
outspoken-intense-by-fergie,"['blackberry', ' carambola (star fruit)', ' kumquat', 'gardenia', ' passion flower', ' african orange flower']"
perceive-soleil,"['yuzu', ' ozonic notes', ' mandarin orange', 'mandarin blossom', ' pink pepper', ' freesia', ' violet leaves']"
