Name,Notes
slightly-b-tch,"['leather', ' clementine', ' mint', ' bitter orange', ' green almond', 'ylang-ylang', ' artemisia', ' hawthorn', ' labdanum']"
souvenir,"['freesia', ' raspberry', ' litchi', 'lily-of-the-valley', ' lily', ' jasmine', ' ylang-ylang', ' rose', ' peony']"
love-pulse,"['carambola (star fruit)', 'rose']"
egeo-on-you,"['mint', ' eucalyptus', ' cardamom', ' pineapple', ' bergamot', ' peach', ' melon', 'fenugreek', ' woody notes', ' sage', ' green leaves', ' lavender', ' galbanum']"
uviolet,"['green leaves', ' pink grapefruit', 'flowers', ' magnolia', ' orchid', ' blackberry']"
scarlet-rain,"['blood orange', ' red currant', 'cyclamen', ' orchid', ' rose']"
western-leather-white,"['apple', ' rhubarb', ' red berries', 'pineapple', ' pear', ' black currant', ' freesia', ' rose', ' jasmine']"
little-mermaid,"['jasmine sambac', 'tuberose']"
wild-orange,"['orange', ' mandarin orange', ' lemon', ' bergamot', 'orange blossom', ' lily of the valley', ' cypress']"
vf-virginia-fonseca-honey,"['blood orange', ' peach', ' cardamom', 'rum', ' cognac', ' jasmine']"
muguet-du-bonheur-2021,"['watermelon', ' lime', ' nashi pear', ' bergamot', ' italian mandarin', 'lily-of-the-valley', ' turkish rose', ' rose']"
success,"['juniper', ' coriander', ' red currant', 'bamboo', ' ginger', ' geranium']"
chic-blossom,"['indian jasmine', ' italian lemon', ' italian mandarin', 'jasmine sambac', ' amber']"
synthetic-nature,"['black currant', ' lily of the valley', ' basil', 'jasmine', ' hyacinth', ' ylang ylang']"
lagerfeld-femme,"['rhubarb', ' green mandarin', ' elemi resin', 'narcissus', ' lily']"
pearl,"['green apple', ' guava', 'sweet notes', ' tonka bean', ' peach', ' orange']"
sweet-sin,"['peach', ' dried apricot', 'rum', ' benzoin', ' tonka bean']"
tutti-twilly-d-hermes,"['litchi', 'ginger flower']"
sankai-black,"['lemon', ' orange leaf', ' pineapple', 'lavender', ' geranium', ' clary sage', ' lily-of-the-valley', ' rose']"
forest-oud,"['pine needles', ' grass', 'palisander rosewood']"
wood-flake,"['hinoki wood', ' cedar', 'vetiver', ' rose']"
glacier-athletic,"['orange', ' lemon', ' sea water', ' bergamot', 'artemisia', ' cardamom']"
fiori-di-luna,"['mandarin orange', ' grapefruit', 'orange', ' peach']"
svetskaya-lvitsa,"['green apple', ' black currant', ' plum', 'rose', ' freesia', ' lily-of-the-valley']"
sunshine-kiss,"['carambola (star fruit)', 'frangipani']"
away-weekend-man,"['bergamot', ' apple', ' cardamom', ' clementine', 'lavender', ' clary sage', ' cypress', ' rosemary']"
sepia,"['mandarin orange', ' grapefruit', ' cedar', 'jasmine', ' big strawberry', ' coffee', ' cacao', ' lotus']"
rives,"['neroli', ' petitgrain', 'lavender', ' orange blossom']"
celebre-ice,"['grapefruit', ' green notes', ' bergamot', ' violet leaf', 'rose', ' freesia', ' peach']"
purple-elixir,"['star anise', ' jasmine', ' solar notes', ' aldehydes', 'jasmine', ' orange blossom', ' heliotrope', ' cashmere wood']"
gaultier-divine-le-parfum,"['solar notes', ' lily', 'frangipani', ' sea salt']"
eye-to-eye-vlublena,"['cinnamon', ' apple', ' pineapple', 'toffee', ' caramel', ' vanilla', ' peach', ' jasmine', ' violet']"
shisha-lounge,"['anise', ' red fruits', ' hazelnut', ' neroli', 'tobacco', ' labdanum', ' oakmoss', ' patchouli']"
filth,"['gardenia', ' jasmine sambac', 'amber', ' dark chocolate']"
dragon,"['cinnamon', ' saffron', 'incense', ' magnolia', ' amber']"
deep-dark-vanilla,"['cabreuva', ' orchid', ' pink pepper', 'cypress', ' vanilla leaves', ' vine']"
red-roses-cologne-2023,"['lemon', 'red rose']"
elvie-white-magic,"['amalfi lemon', ' neroli', ' bergamot', ' pink pepper', 'jasmine', ' african orange flower', ' freesia']"
flower-fresh,"['grass', ' watermelon', ' mandarin orange', ' peony', 'pink tulip', ' peach', ' tomato leaf']"
d-red-by-diesel,"['blood grapefruit', 'lavender']"
dolly-girl-lil-starlet,"['lemon', ' orange', ' pear', 'peony', ' lily']"
a-oud-ancienne,"['agarwood', ' cypress', 'castoreum', ' amyris', ' labdanum']"
men-brahma,"['eucalyptus', ' lemon', ' black pepper', ' bergamot', 'elemi', ' artemisia', ' sage', ' cardamom']"
yucatan-secret,"['watermelon', ' bergamot', 'absinthe', ' lavender']"
